Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c5.35,5,35,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),PositiveEmotion,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.36,5,36,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Affect,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.37,5,37,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Humans,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.38,5,38,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Friends,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.39,5,39,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Family,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.40,5,40,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Social,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.41,5,41,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Swear,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.42,5,42,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Numbers,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.43,5,43,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Quant,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.44,5,44,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Negate,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
