Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Dimensionhumanname
c9.70,9,70,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/70 Beginning
c9.71,9,71,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/71 End
c9.72,9,72,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/72 Middle
c9.73,9,73,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/73 Continuity
c9.74,9,74,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/74 Discontinuity
c9.75,9,75,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/75 Term
c9.76,9,76,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.3 Collective Order/76 Assemblage
c9.77,9,77,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.3 Collective Order/77 Dispersion
c9.78,9,78,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.3 Collective Order/78 Focus
c9.79,9,79,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/79 Class
c9.80,9,80,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/80 Inclusion
c9.81,9,81,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/81 Exclusion
c9.82,9,82,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/82 Generality
c9.83,9,83,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/83 Speciality
c9.84,9,84,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/84 Normality
c9.85,9,85,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/85 Multiformity
c9.86,9,86,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/86 Conformity
c9.87,9,87,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/87 Unconformity
c9.88,9,88,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.1 Number In The Abstract/88 Number
c9.89,9,89,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.1 Number In The Abstract/89 Numeration
c9.90,9,90,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.1 Number In The Abstract/90 List
c9.91,9,91,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/100 Quadruplication
c9.92,9,92,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/101 Quadrisection
c9.93,9,93,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/102 Five And Over
c9.94,9,94,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/103 Multisection
c9.95,9,95,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/91 Unity
c9.96,9,96,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/92 Accompaniment
c9.97,9,97,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/93 Duality
c9.98,9,98,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/94 Duplication
c9.99,9,99,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/95 Bisection
c9.100,9,100,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/96 Triality
c9.101,9,101,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/97 Triplication
c9.102,9,102,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/98 Trisection
c9.103,9,103,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/99 Four
c9.104,9,104,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.3 Indeterminate Number/104 Plurality
c9.105,9,105,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.3 Indeterminate Number/105 Fraction
c9.106,9,106,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.3 Indeterminate Number/106 Zero
c9.107,9,107,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.3 Indeterminate Number/107 Multitude
c9.108,9,108,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.3 Indeterminate Number/108 Fewness
c9.109,9,109,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.3 Indeterminate Number/109 Repetition
c9.110,9,110,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.3 Indeterminate Number/110 Infinity
c9.111,9,111,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/111 Time
c9.112,9,112,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/112 Neverness
c9.113,9,113,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/113 Period
c9.114,9,114,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/114 Contingent Duration
c9.115,9,115,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/115 Course
c9.116,9,116,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/116 Diuturnity
c9.117,9,117,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/117 Transientness
c9.118,9,118,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/118 Perpetuity
c9.119,9,119,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/119 Instantaneity
c9.120,9,120,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/120 Chronometry
c9.121,9,121,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.1 Absolute Time/121 Anachronism
c9.122,9,122,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.1 Relative To Succession/122 Priority
c9.123,9,123,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.1 Relative To Succession/123 Posteriority
c9.124,9,124,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.1 Relative To Succession/124 The Present Time
c9.125,9,125,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.1 Relative To Succession/125 Different Time
c9.126,9,126,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.1 Relative To Succession/126 Synchronism
c9.127,9,127,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/127 Futurity
c9.128,9,128,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/128 The Past
c9.129,9,129,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/129 Newness
c9.130,9,130,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/130 Oldness
c9.131,9,131,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/131 Morning
c9.132,9,132,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/132 Evening
c9.133,9,133,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/133 Youth
c9.134,9,134,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/134 Age
c9.135,9,135,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/135 Infant
c9.136,9,136,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/136 Veteran
c9.137,9,137,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.2 Relative To A Period/137 Adolescence
c9.138,9,138,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.3 Reference To Effect/purpose/138 Earliness
c9.139,9,139,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.3 Reference To Effect/purpose/139 Punctuality
c9.140,9,140,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.3 Reference To Effect/purpose/140 Lateness
c9.141,9,141,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.3 Reference To Effect/purpose/141 Occasion
c9.142,9,142,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.2 Relative Time/1.6.2.3 Reference To Effect/purpose/142 Untimeliness
c9.143,9,143,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.3 Recurrent Time/143 Frequency
c9.144,9,144,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.3 Recurrent Time/144 Infrequency
c9.145,9,145,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.3 Recurrent Time/145 Periodicity
c9.146,9,146,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.6 Time/1.6.3 Recurrent Time/146 Fitfullness
c9.147,9,147,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/147 Change
c9.148,9,148,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/148 Permanence
c9.149,9,149,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/149 Cessation
