GKGRECORDID,V2_1DATE,V2SOURCECOLLECTIONIDENTIFIER,V2SOURCECOMMONNAME,V2DOCUMENTIDENTIFIER,V1COUNTS,V2_1COUNTS,V1THEMES,V2ENHANCEDTHEMES,V1LOCATIONS,V2ENHANCEDLOCATIONS,V1PERSONS,V2ENHANCEDPERSONS,V1ORGANIZATIONS,V2ENHANCEDORGANIZATIONS,V1_5TONE,V2_1ENHANCEDDATES,V2GCAM,V2_1SHARINGIMAGE,V2_1RELATEDIMAGES,V2_1SOCIALIMAGEEMBEDS,V2_1SOCIALVIDEOEMBEDS,V2_1QUOTATIONS,V2_1ALLNAMES,V2_1AMOUNTS,V2_1TRANSLATIONINFO,V2EXTRASXML
20170417121500-1433	20170417121500	1	asiaone.com	http://forums.asiaone.com/showthread.php?s=b2449517386b12285cabcbc59e47f9e0&p=1968163			EPU_CATS_REGULATION;WB_678_DIGITAL_GOVERNMENT;WB_670_ICT_SECURITY;WB_680_PERSONAL_DATA_PROTECTION;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;CRISISLEX_CRISISLEXREC;	EPU_CATS_REGULATION,156;CRISISLEX_CRISISLEXREC,474;WB_678_DIGITAL_GOVERNMENT,252;WB_670_ICT_SECURITY,252;WB_680_PERSONAL_DATA_PROTECTION,252;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,252;	1#Singapore#SN#SN#1.3667#103.8#SN	1#Singapore#SN#SN##1.3667#103.8#SN#101;1#Singapore#SN#SN##1.3667#103.8#SN#180			singapore charlie brown;singapore press holdings ltd	Singapore Charlie Brown,115;Singapore Press Holdings Ltd,199	-2.32558139534884,2.32558139534884,4.65116279069767,6.97674418604651,19.7674418604651,5.81395348837209,77	1#0#0#2014#206	wc:77,c12.1:5,c12.10:10,c12.12:3,c12.13:4,c12.14:3,c12.3:3,c12.5:2,c12.7:5,c12.8:4,c12.9:5,c13.14:1,c14.1:4
20170417121500-1434	20170417121500	1	muscatinejournal.com	http://muscatinejournal.com/news/world/recent-developments-surrounding-the-south-china-sea/article_34ab0971-1afb-585f-8fe1-bc0dcb186bed.html			UNGP_FORESTS_RIVERS_OCEANS;WB_137_WATER;EPU_ECONOMY_HISTORIC;TAX_WORLDFISH;TAX_WORLDFISH_FISH;ENV_OIL;TAX_FNCACT;TAX_FNCACT_EDITORS;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_BRUNEI;TAX_ETHNICITY;TAX_ETHNICITY_FILIPINO;TAX_WORLDLANGUAGES_FILIPINO;DELAY;TAX_FNCACT_VILLAGERS;TAX_WORLDLANGUAGES_PALAWAN;MEDIA_MSM;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES_CHINESE;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;DRUG_TRADE;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2456_DRUGS_AND_NARCOTICS;CRIME_ILLEGAL_DRUGS;TAX_ETHNICITY_MEND;CRISISLEX_C04_LOGISTICS_TRANSPORT;TAX_FNCACT_WRITER;EPU_CATS_REGULATION;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;	GENERAL_GOVERNMENT,1926;EPU_POLICY_GOVERNMENT,1926;TAX_ETHNICITY_FILIPINO,845;TAX_ETHNICITY_FILIPINO,1113;TAX_ETHNICITY_FILIPINO,1729;TAX_WORLDLANGUAGES_FILIPINO,845;TAX_WORLDLANGUAGES_FILIPINO,1113;TAX_WORLDLANGUAGES_FILIPINO,1729;MEDIA_MSM,1488;TAX_ETHNICITY_MEND,2399;TAX_FNCACT_VILLAGERS,1132;WB_2433_CONFLICT_AND_VIOLENCE,423;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,423;TAX_FNCACT_EDITORS,296;ENV_OIL,271;DELAY,1057;TAX_WORLDLANGUAGES_BRUNEI,97;TAX_WORLDLANGUAGES_BRUNEI,383;TAX_WORLDLANGUAGES_BRUNEI,660;TAX_WORLDLANGUAGES_BRUNEI,983;WB_678_DIGITAL_GOVERNMENT,2644;WB_694_BROADCAST_AND_MEDIA,2644;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,2644;CRIME_ILLEGAL_DRUGS,2294;EPU_CATS_REGULATION,2552;WB_137_WATER,212;WB_137_WATER
20170417121500-1435	20170417121500	1	theglobeandmail.com	http://www.theglobeandmail.com/report-on-business/careers/leadership-lab/entering-the-work-force-the-tough-transition-from-life-as-an-athlete/article34716684/			EDUCATION;	EDUCATION,239;	1#United States#US#US#38#-97#US;1#Canada#CA#CA#60#-95#CA;1#Hungary#HU#HU#47#20#HU;1#Spain#SP#SP#40#-4#SP	1#Spain#SP#SP##40#-4#SP#1123;1#Canada#CA#CA##60#-95#CA#230;1#Canada#CA#CA##60#-95#CA#1025;1#Canada#CA#CA##60#-95#CA#1085;1#Canada#CA#CA##60#-95#CA#3514;1#Hungary#HU#HU##47#20#HU#1095;1#United States#US#US##38#-97#US#1115	sam roworth;steve prefontaine	Sam Roworth,98;Steve Prefontaine,2708	team canada;linkedin;ryerson university;leadership lab;united states	Team Canada,1025;Linkedin,1809;Ryerson University,1289;Leadership Lab,15;United States,1115	1.58273381294964,4.02877697841727,2.44604316546763,6.47482014388489,24.0287769784173,0.863309352517986,625		wc:625,c12.1:53,c12.10:87,c12.12:42,c12.13:23,c12.14:32,c12.3:20,c12.4:11,c12.5:25,c12.7:53,c12.8:29,c12.9:46,c13.1:1
20170417121500-1436	20170417121500	1	deccanherald.com	http://www.deccanherald.com/content/606835/srinivasan-cannot-represent-bcci-icc.html					4#New Delhi,Delhi,India#IN#IN07#28.6#77.2#-2106102	4#New Delhi,Delhi,India#IN#IN07#17911#28.6#77.2#-2106102#231	rahul johri;justice dipak misra;amitabh chaudhary	Rahul Johri,573;Rahul Johri,876;Justice Dipak Misra,629;Amitabh Chaudhary,487;Amitabh Chaudhary,818	sc press trust of india;supreme court;committee of administrators co	Sc Press Trust Of India,219;Supreme Court,412	0,2.36686390532544,2.36686390532544,4.73372781065089,25.4437869822485,0.29585798816568,300	4#4#24#0#558;4#4#10#0#1071	wc:300,c12.1:15,c12.10:21,c12.12:9,c12.13:5,c12.14:7,c12.3:5,c12.5:11,c12.7:11,c12.8:5
20170417121500-1437	20170417121500	1	illawarramercury.com.au	http://www.illawarramercury.com.au/story/4602544/an-event-full-easter-for-the-illawarra-region/?cs=300					1#Australia#AS#AS#-27#133#AS;4#Melbourne,Victoria,Australia#AS#AS07#-37.8167#144.967#-1586844;4#Illawarra,Victoria,Australia#AS#AS07#-37.0667#142.7#-1579342;4#Botanic Gardens,New South Wales,Australia#AS#AS02#-36.0652#146.901#11348237	4#Botanic Gardens,New South Wales,Australia#AS#AS02#5428#-36.0652#146.901#11348237#271;4#Botanic Gardens,New South Wales,Australia#AS#AS02#5428#-36.0652#146.901#11348237#366;4#Illawarra,Victoria,Australia#AS#AS07#5410#-37.0667#142.7#-1579342#13;4#Illawarra,Victoria,Australia#AS#AS07#5410#-37.0667#142.7#-1579342#815;4#Illawarra,Victoria,Australia#AS#AS07#5410#-37.0667#142.7#-1579342#1405;1#Australia#AS#AS##-27#133#AS#24;1#Australia#AS#AS##-27#133#AS#282;1#Australia#AS#AS##-27#133#AS#377;1#Australia#AS#AS##-27#133#AS#826;1#Australia#AS#AS##-27#133#AS#1215;1#Australia#AS#AS##-27#133#AS#1416;1#Australia#AS#AS##-27#133#AS#1632;4#Melbourne,Victoria,Australia#AS#AS07#5430#-37.8167#144.967#-1586844#1621	paul mcgregor	Paul Mcgregor,1705	mustang owners association of australia;club of wollongong it	Mustang Owners Association Of Australia,1215;Club Of Wollongong It,412	2.53521126760563,4.22535211267606,1.69014084507042,5.91549295774648,22.8169014084507,0.28169014084507
20170417121500-1438	20170417121500	1	indyweek.com	http://www.indyweek.com/indyweek/2017-golden-leaf-awards-reception-and-ceremony/Event?oid=5816129			UNGP_FORESTS_RIVERS_OCEANS;	UNGP_FORESTS_RIVERS_OCEANS,152;					environmental affairs board;appearance commission	Environmental Affairs Board,166;Appearance Commission,87	5.35714285714286,5.35714285714286,0,5.35714285714286,25,1.78571428571429,40	4#4#20#0#13	wc:40,c1.1:1,c1.3:1,c12.1:3,c12.10:3,c12.13:2,c12.14:1,c12.3:1,c12.5:3,c12.7:1,c12.8:2,c12.9:4,c13.11:1,c14.1:2,c14.10:2,c14.11:5,c14.2:2,c14.3:3
20170417121500-1439	20170417121500	1	cbc.ca	http://www.cbc.ca/news/canada/manitoba/car-sales-industry-oversight-needed-1.4068595			MANMADE_DISASTER_IMPLIED;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_INSIDER;USPEC_POLICY1;CRISISLEX_CRISISLEXREC;TAX_FNCACT_QUEEN;WB_698_TRADE;TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;TAX_ETHNICITY_BLACK;TAX_FNCACT_SHERIFF;CRISISLEX_C07_SAFETY;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;WB_350_FINANCIAL_INFRASTRUCTURE_AND_REMITTANCES;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_357_CREDIT_REPORTING;AFFECT;TAX_FNCACT_DIRECTOR;UNGP_JOB_OPPORTUNITIES_WORKING_CONDITIONS;TAX_ECON_PRICE;TAX_FNCACT_DEALER;WB_363_FINANCIAL_INCLUSION;WB_364_CONSUMER_PROTECTION;CRISISLEX_T11_UPDATESSYMPATHY;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_838_PUBLIC_ACCOUNTABILITY_MECHANISMS;TAX_FNCACT_REGULATORS;TAX_FNCACT_SPOKESPERSON;WB_1973_FINANCIAL_RISK_REDUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_337_INSURANCE;WB_1967_AGRICULTURAL_RISK_AND_SECURITY;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;SANCTIONS;	TAX_FNCACT_DIRECTOR,2453;TAX_FNCACT_INSIDER,92;MANMADE_DISASTER_IMPLIED,37;MANMADE_DISASTER_IMPLIED,125;MANMADE_DISASTER_IMPLIED,215;MANMADE_DISASTER_IMPLIED,661;MANMADE_DISASTER_IMPLIED,3548;TAX_FNCACT_SPOKESPERSON,4363;TAX_FNCACT_SPOKESPERSON,4602;EPU_ECONOMY_HISTORIC,84;WB_363_FINANCIAL_INCLUSION,3921;WB_363_FINANCIAL_INCLUSION,4396;WB_364_CONSUMER_PROTECTION,3921;WB_364_CONSUMER_PROTECTION,4396;WB_1973_FINANCIAL_RISK_REDUCTION,4634;WB_435_AGRICULTURE_AND_FOOD_SECURITY,4634;WB_337_INSURANCE,4634;WB_1967_AGRICULTURAL_RISK_AND_SECURITY,4634;TAX_ECON_PRICE,2741;TAX_ECON_PRICE,3210;TAX_ECON_PRICE,5210;AFFECT,2388;TAX_FNCACT_QUEEN,624;TAX_FNCACT_SHERIFF,2022;CRISISLEX_C07_SAFETY,2022;SANCTIONS,4693;CRISISLEX_T11_UPDATESSYMPATHY
20170417121500-1440	20170417121500	1	you.co.za	http://www.you.co.za/news/7-modern-boyband-members-whove-had-solo-success/					1#United States#US#US#38#-97#US;1#Puerto Rico#RQ#RQ#18.2359#-66.4838#RQ;3#Hollywood,California,United States#US#USCA#34.0983#-118.327#1660757;4#Notting Hill,Victoria,Australia#AS#AS07#-37.9#145.117#-1592355;1#Australia#AS#AS#-27#133#AS;1#Ireland#EI#EI#53#-8#EI	1#Puerto Rico#RQ#RQ##18.2359#-66.4838#RQ#1655;4#Notting Hill,Victoria,Australia#AS#AS07#5401#-37.9#145.117#-1592355#1346;1#Irish#EI#EI##53#-8#EI#1082;1#Australia#AS#AS##-27#133#AS#1357;1#Australia#AS#AS##-27#133#AS#1532;1#American#US#US##38#-97#US#2799;3#Hollywood,California,United States#US#USCA#CA037#34.0983#-118.327#1660757#2570	justin timberlake;louis tomlinson;niall horan;las vegas;harry styles;futuresex lovesounds;christina aguilera;demi lovato;ricky martin;zayn malik;u s robbie williams;ronan keating;nick jonas	Justin Timberlake,2073;Louis Tomlinson,1019;Niall Horan,1033;Las Vegas,2017;Harry Styles,524;Futuresex Lovesounds,2497;Christina Aguilera,3802;Demi Lovato,3592;Ricky Martin,1605;Zayn Malik,673;Ronan Keating,1202;Nick Jonas,3276			1.76767676767677,4.04040404040404,2.27272727272727,6.31313131313131,23.6111111111111,0.757575757575758,722	1#0#0#2000#1158;1#0#0#1999#1907;1#0#0#2002#2387;1#0#0#2006#2550;1#0#0#2005#3029;1#0#0#2014#3139;1#0#0#2005#3417;1#0#0#2013#3466;1#0#0#1995#4077;1#0#0#2006#4357	wc:722
20170417121500-1441	20170417121500	1	kdramastars.com	http://www.kdramastars.com/articles/116032/20170417/drama-review-tunnel-drama-episode-8.htm			MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_CHILD;CRISISLEX_CRISISLEXREC;TAX_FNCACT_HERO;TAX_FNCACT_CORONER;CRISISLEX_C07_SAFETY;TAX_FNCACT_KILLER;TAX_FNCACT_KILLERS;KILL;CRISISLEX_T03_DEAD;TAX_FNCACT_CULPRIT;CORRUPTION;WB_2019_ANTI_CORRUPTION_LEGISLATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_2020_BRIBERY_FRAUD_AND_COLLUSION;UNGP_FORESTS_RIVERS_OCEANS;	TAX_FNCACT_HERO,775;CORRUPTION,1963;WB_2019_ANTI_CORRUPTION_LEGISLATION,1963;WB_696_PUBLIC_SECTOR_MANAGEMENT,1963;WB_831_GOVERNANCE,1963;WB_832_ANTI_CORRUPTION,1963;WB_2020_BRIBERY_FRAUD_AND_COLLUSION,1963;CRISISLEX_CRISISLEXREC,730;MANMADE_DISASTER_IMPLIED,75;TAX_FNCACT_CORONER,1130;CRISISLEX_C07_SAFETY,1130;TAX_FNCACT_CHILD,555;UNGP_FORESTS_RIVERS_OCEANS,2464;TAX_FNCACT_CULPRIT,1809;TAX_FNCACT_KILLERS,1522;KILL,1704;CRISISLEX_T03_DEAD,1704;TAX_FNCACT_KILLER,1466;			jae-i lee yoo-young;choi jin-hyuk;seong-sik jo hee-bong				-4.21686746987952,2.00803212851406,6.22489959839357,8.23293172690763,22.4899598393574,1.80722891566265,440		wc:440,c1.1:1,c1.3:2
20170417121500-1442	20170417121500	1	irishcentral.com	http://www.irishcentral.com/business/influencers/irish-people-we-love-kara-ross-unleashing-women-s-potential-in-poor-communities			TAX_ETHNICITY;TAX_ETHNICITY_IRISH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_IRISH;TAX_ETHNICITY_AMERICAN;TAX_FNCACT;TAX_FNCACT_DESIGNER;WB_2670_JOBS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;EPU_POLICY;EPU_POLICY_WHITE_HOUSE;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;TAX_FNCACT_WOMEN;MEDIA_MSM;TAX_FNCACT_GEMOLOGIST;TAX_FNCACT_CHILDREN;TAX_FNCACT_FATHER;CRISISLEX_T11_UPDATESSYMPATHY;UNGP_FORESTS_RIVERS_OCEANS;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;TAX_FNCACT_STUDENTS;WB_1606_SCHOLARSHIPS;WB_1608_CASH_TRANSFERS;WB_1466_SOCIAL_ASSISTANCE;WB_1603_FEE_WAIVERS;WB_697_SOCIAL_PROTECTION_AND_LABOR;POVERTY;SOC_POINTSOFINTEREST_COLLEGE;CRISISLEX_T04_INFRASTRUCTURE;TAX_WORLDLANGUAGES_BINDI;TAX_ETHNICITY_INDIAN;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;TAX_FNCACT_RETAILER;GEN_HOLIDAY;WB_367_MICROFINANCE;WB_882_MSME_FINANCE;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_363_FINANCIAL_INCLUSION;GENERAL_HEALTH;MEDICAL;	GENERAL_GOVERNMENT,4549;EPU_POLICY_GOVERNMENT,4549;SOC_POINTSOFINTEREST_COLLEGE,3483;MEDIA_MSM,748;TAX_FNCACT_FATHER,1241;TAX_FNCACT_FATHER,1294;TAX_WORLDLANGUAGES_BINDI,4196;WB_2670_JOBS,112;WB_696_PUBLIC_SECTOR_MANAGEMENT,112;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,112;WB_723_PUBLIC_ADMINISTRATION,112;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,112;TAX_FNCACT_GEMOLOGIST,857;TAX_FNCACT_RETAILER,4725;TAX_FNCACT_STUDENTS,3357;WB_367_MICROFINANCE,4850;WB_367_MICROFINANCE,4942;WB_882_MSME_FINANCE,4850;WB_882_MSME_FINANCE,4942;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,4850;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,4942;WB_363_FINANCIAL_INCLUSION,4850;WB_363_FINANCIAL_INCLUSION,4942;CRISISLEX_T11_UPDATESSYMPATHY,1846;TAX_ETHNICITY_AMERICAN,55;TAX_ETHNICITY_AMERICAN,1972;TAX_ETHNICITY_AMERICAN
20170417121500-1443	20170417121500	1	ibtimes.co.uk	http://www.ibtimes.co.uk/gareth-bale-ruled-out-real-madrid-vs-bayern-munich-welshman-could-play-el-clasico-1617284					4#Los Blancos,Murcia,Spain#SP#SP31#37.6308#-0.811355#-389832;4#Barcelona,Comunidad Autonoma De Cataluna,Spain#SP#SP56#41.3833#2.18333#-372490;1#United Kingdom#UK#UK#54#-2#UK;4#Madrid,Madrid,Spain#SP#SP29#40.4#-3.68333#-390625	4#Madrid,Madrid,Spain#SP#SP29#25820#40.4#-3.68333#-390625#12;4#Madrid,Madrid,Spain#SP#SP29#25820#40.4#-3.68333#-390625#527;4#Madrid,Madrid,Spain#SP#SP29#25820#40.4#-3.68333#-390625#947;4#Madrid,Madrid,Spain#SP#SP29#25820#40.4#-3.68333#-390625#1703;4#Madrid,Madrid,Spain#SP#SP29#25820#40.4#-3.68333#-390625#2042;4#Madrid,Madrid,Spain#SP#SP29#25820#40.4#-3.68333#-390625#2734;1#Welshman#UK#UK##54#-2#UK#1759;4#Los Blancos,Murcia,Spain#SP#SP31#25822#37.6308#-0.811355#-389832#2501;4#Barcelona,Comunidad Autonoma De Cataluna,Spain#SP#SP56#25806#41.3833#2.18333#-372490#314;4#Barcelona,Comunidad Autonoma De Cataluna,Spain#SP#SP56#25806#41.3833#2.18333#-372490#809;4#Barcelona,Comunidad Autonoma De Cataluna,Spain#SP#SP56#25806#41.3833#2.18333#-372490#2319;4#Barcelona
20170417121500-1444	20170417121500	1	iheart.com	http://1037theq.iheart.com/articles/weird-news-104673/goat-saves-family-from-fire-15744360/			TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_GOAT;MANMADE_DISASTER;MANMADE_DISASTER_HOUSE_FIRE;DISASTER_FIRE;TAX_FNCACT;TAX_FNCACT_FATHER;	MANMADE_DISASTER_HOUSE_FIRE,80;DISASTER_FIRE,80;TAX_WORLDMAMMALS_GOAT,27;TAX_WORLDMAMMALS_GOAT,217;TAX_WORLDMAMMALS_GOAT,413;TAX_FNCACT_FATHER,496;	2#Arkansas,United States#US#USAR#34.9513#-92.3809#AR;3#Poinsett County,Arkansas,United States#US#USAR#35.5667#-90.6501#69174	3#Poinsett County,Arkansas,United States#US#USAR#AR111#35.5667#-90.6501#69174#168;2#Arkansas,United States#US#USAR##34.9513#-92.3809#AR#11	abigail bruce	Abigail Bruce,106			2.77777777777778,4.62962962962963,1.85185185185185,6.48148148148148,22.2222222222222,0,98		wc:98,c12.1:2,c12.10:5,c12.13:1,c12.14:4,c12.3:1,c12.5:2,c12.7:1
20170417121500-1445	20170417121500	1	business-standard.com	http://www.business-standard.com/article/news-ani/u-s-nsa-adamant-on-defeating-taliban-in-afghanistan-117041700644_1.html			TAX_TERROR_GROUP;TAX_TERROR_GROUP_TALIBAN;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;CRISISLEX_C07_SAFETY;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;EPU_CATS_NATIONAL_SECURITY;TAX_FNCACT_ADVISER;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AFGHAN;WB_2433_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;EPU_POLICY;EPU_POLICY_POLITICAL;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_EXECUTIVE_OFFICER;TAX_FNCACT_CHIEF_EXECUTIVE_OFFICER;CRISISLEX_CRISISLEXREC;TAX_TERROR_GROUP_ISIS;TERROR;ARMEDCONFLICT;EPU_CATS_MIGRATION_FEAR_FEAR;UNREST_BELLIGERENT;TAX_WEAPONS;TAX_WEAPONS_BOMB;MILITARY;TAX_MILITARY_TITLE_SOLDIERS;TAX_FNCACT_SOLDIERS;TAX_FNCACT_WOMEN;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;CRISISLEX_C03_WELLBEING_HEALTH;TAX_FNCACT_LEADERS;WB_2473_DIPLOMACY_AND_NEGOTIATIONS;WB_2471_PEACEKEEPING;EPU_POLICY_WHITE_HOUSE;	EPU_CATS_MIGRATION_FEAR_FEAR,925;EPU_POLICY_POLITICAL,543;EPU_POLICY_POLITICAL,1544;TAX_FNCACT_EXECUTIVE_OFFICER,606;TAX_FNCACT_EXECUTIVE,598;TAX_FNCACT_LEADERS,1660;WB_2473_DIPLOMACY_AND_NEGOTIATIONS,1862;WB_2471_PEACEKEEPING,1862;MILITARY,1126;MILITARY,1183;TAX_MILITARY_TITLE_SOLDIERS,1126;TAX_MILITARY_TITLE_SOLDIERS,1183;TAX_FNCACT_SOLDIERS,1126;TAX_FNCACT_SOLDIERS,1183;GENERAL_HEALTH,1281;MEDICAL,1281;SOC_POINTSOFINTEREST_HOSPITAL,1281;CRISISLEX_C03_WELLBEING_HEALTH,1281;CRISISLEX_C07_SAFETY,99;CRISISLEX_C07_SAFETY,2061;TAX_WORLDLANGUAGES_AFGHAN,451;TAX_WORLDLANGUAGES_AFGHAN,485;TAX_WORLDLANGUAGES_AFGHAN,1174;TERROR,790;ARMEDCONFLICT,790;CRISISLEX_T11_UPDATESSYMPATHY,561;TAX_FNCACT_WOMEN
20170417121500-1446	20170417121500	1	maldonandburnhamstandard.co.uk	http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/15228427.LIVE__Man_shot_dead_and_woman_stabbed___live_updates_from_the_scene/			TAX_FNCACT;TAX_FNCACT_MAN;KILL;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;TAX_FNCACT_WOMAN;MEDIA_MSM;MEDIA_CENSORSHIP;TAX_FNCACT_EDITOR;	TAX_FNCACT_WOMAN,160;TAX_FNCACT_EDITOR,785;TAX_FNCACT_EDITOR,928;MEDIA_MSM,476;MEDIA_CENSORSHIP,755;KILL,152;CRISISLEX_CRISISLEXREC,152;CRISISLEX_T02_INJURED,152;CRISISLEX_T03_DEAD,152;TAX_FNCACT_MAN,142;	5#Buckinghamshire,Buckinghamshire,United Kingdom#UK#UKB9#51.75#-0.75#-2591191;4#Loudwater,Buckinghamshire,United Kingdom#UK#UKB9#51.6#-0.7#-2602064;4#High Wycombe,Buckinghamshire,United Kingdom#UK#UKB9#51.6333#-0.766667#-2598710	4#Loudwater,Buckinghamshire,United Kingdom#UK#UKB9#40114#51.6#-0.7#-2602064#540;4#High Wycombe,Buckinghamshire,United Kingdom#UK#UKB9#40097#51.6333#-0.766667#-2598710#591;5#Buckinghamshire,Buckinghamshire,United Kingdom#UK#UKB9#40097#51.75#-0.75#-2591191#625			newsquest;a gannett companynewsquest london essex ltd;standards organisation editor code of practice	Newsquest,452;A Gannett Companynewsquest London Essex Ltd,528;Standards Organisation Editor Code Of Practice,802	-3.65853658536585,0.609756097560976
20170417121500-1447	20170417121500	1	pantagraph.com	http://www.pantagraph.com/news/world/government-forces-on-the-offensive-in-central-hama-province/article_cabc21ae-bfe6-50df-a4d5-6849400a029e.html			WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT;TAX_FNCACT_ACTIVISTS;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;ARMEDCONFLICT;TAX_FNCACT_TROOPS;TAX_FNCACT_MILITIAMEN;TERROR;WB_2433_CONFLICT_AND_VIOLENCE;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2445_NON_STATE_SECURITY_ACTORS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;WB_2203_HUMAN_RIGHTS;UNGP_CRIME_VIOLENCE;MILITARY;TAX_FNCACT_OFFICIAL;EPU_CATS_REGULATION;	GENERAL_GOVERNMENT,93;EPU_POLICY_GOVERNMENT,93;TAX_FNCACT_MILITIAMEN,295;TAX_FNCACT_TROOPS,268;TAX_FNCACT_TROOPS,624;TAX_WORLDMAMMALS_HUMAN,421;MILITARY,450;WB_678_DIGITAL_GOVERNMENT,55;WB_694_BROADCAST_AND_MEDIA,55;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,55;SELF_IDENTIFIED_HUMAN_RIGHTS,428;WB_2203_HUMAN_RIGHTS,428;UNGP_CRIME_VIOLENCE,428;TERROR,364;WB_2433_CONFLICT_AND_VIOLENCE,364;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS,364;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,364;WB_2445_NON_STATE_SECURITY_ACTORS,364;EPU_CATS_REGULATION,849;PROTEST,78;MOVEMENT_GENERAL,78;TAX_FNCACT_ACTIVISTS,78;ARMEDCONFLICT,100;TAX_FNCACT_OFFICIAL,602;	4#Beirut,Beyrouth,Lebanon#LE#LE04#33.8719#35.5097#-801546;1#Syria#SY#SY#35#38#SY	4#Beirut
